sku_id,slug,name,cat,sub,sub_active,size,factory,our_unit,old_price,confidence,their_source,their_name,their_factory,reference_price,reason
ibeam-hea-11,ibeam-hea-11,تیرآهن هاش سبک (HEA) ۱۶,تیرآهن,هاش سبک,True,۱۶,آریان فولاد,kg,37550,uncertain,تیرآهن-و-هاش/هاش,هاش 16,ذوب آهن,195454,"هاش — ahanonline's هاش table prices ذوب‌آهن-branded, ترک-کره and وارداتی rows identically at 163–227 k T/kg (≈2.2× its own تیرآهن) and carries at least one row whose واحد says شاخه at 200,000 T. The brand column is not maintained, so no domestic-mill هاش price can be read off it. Left unpriced by decision."
ibeam-hea-12,ibeam-hea-12,تیرآهن هاش سبک (HEA) ۱۸,تیرآهن,هاش سبک,True,۱۸,فایکو,kg,36550,uncertain,تیرآهن-و-هاش/هاش,هاش 18,ذوب آهن,200000,"هاش — ahanonline's هاش table prices ذوب‌آهن-branded, ترک-کره and وارداتی rows identically at 163–227 k T/kg (≈2.2× its own تیرآهن) and carries at least one row whose واحد says شاخه at 200,000 T. The brand column is not maintained, so no domestic-mill هاش price can be read off it. Left unpriced by decision."
ibeam-hea-13,ibeam-hea-13,تیرآهن هاش سبک (HEA) ۲۰,تیرآهن,هاش سبک,True,۲۰,ذوب‌آهن اصفهان,kg,38450,exact,تیرآهن-و-هاش/هاش,هاش 20,ذوب آهن,200000,"هاش — ahanonline's هاش table prices ذوب‌آهن-branded, ترک-کره and وارداتی rows identically at 163–227 k T/kg (≈2.2× its own تیرآهن) and carries at least one row whose واحد says شاخه at 200,000 T. The brand column is not maintained, so no domestic-mill هاش price can be read off it. Left unpriced by decision."
ibeam-hea-14,ibeam-hea-14,تیرآهن هاش سبک (HEA) ۲۲,تیرآهن,هاش سبک,True,۲۲,یزد احرامیان,kg,37350,uncertain,تیرآهن-و-هاش/هاش,هاش سنگین 22 ذوب آهن اصفهان 12 متری,ذوب آهن اصفهان,195454,"هاش — ahanonline's هاش table prices ذوب‌آهن-branded, ترک-کره and وارداتی rows identically at 163–227 k T/kg (≈2.2× its own تیرآهن) and carries at least one row whose واحد says شاخه at 200,000 T. The brand column is not maintained, so no domestic-mill هاش price can be read off it. Left unpriced by decision."
ibeam-hea-15,ibeam-hea-15,تیرآهن هاش سبک (HEA) ۲۴,تیرآهن,هاش سبک,True,۲۴,آریان فولاد,kg,39500,uncertain,تیرآهن-و-هاش/هاش,هاش سبک 24 تهران شاخه 12 متری,وارداتی,200000,"هاش — ahanonline's هاش table prices ذوب‌آهن-branded, ترک-کره and وارداتی rows identically at 163–227 k T/kg (≈2.2× its own تیرآهن) and carries at least one row whose واحد says شاخه at 200,000 T. The brand column is not maintained, so no domestic-mill هاش price can be read off it. Left unpriced by decision."
ibeam-heb-16,ibeam-heb-16,تیرآهن هاش سنگین (HEB) ۱۶,تیرآهن,هاش سنگین,True,۱۶,جهان فولاد غرب,kg,39300,uncertain,تیرآهن-و-هاش/هاش,هاش 16,ذوب آهن,195454,"هاش — ahanonline's هاش table prices ذوب‌آهن-branded, ترک-کره and وارداتی rows identically at 163–227 k T/kg (≈2.2× its own تیرآهن) and carries at least one row whose واحد says شاخه at 200,000 T. The brand column is not maintained, so no domestic-mill هاش price can be read off it. Left unpriced by decision."
ibeam-heb-17,ibeam-heb-17,تیرآهن هاش سنگین (HEB) ۱۸,تیرآهن,هاش سنگین,True,۱۸,یزد احرامیان,kg,41300,uncertain,تیرآهن-و-هاش/هاش,هاش 18,ذوب آهن,200000,"هاش — ahanonline's هاش table prices ذوب‌آهن-branded, ترک-کره and وارداتی rows identically at 163–227 k T/kg (≈2.2× its own تیرآهن) and carries at least one row whose واحد says شاخه at 200,000 T. The brand column is not maintained, so no domestic-mill هاش price can be read off it. Left unpriced by decision."
ibeam-heb-18,ibeam-heb-18,تیرآهن هاش سنگین (HEB) ۲۰,تیرآهن,هاش سنگین,True,۲۰,جهان فولاد غرب,kg,38950,uncertain,تیرآهن-و-هاش/هاش,هاش 20,ذوب آهن,200000,"هاش — ahanonline's هاش table prices ذوب‌آهن-branded, ترک-کره and وارداتی rows identically at 163–227 k T/kg (≈2.2× its own تیرآهن) and carries at least one row whose واحد says شاخه at 200,000 T. The brand column is not maintained, so no domestic-mill هاش price can be read off it. Left unpriced by decision."
ibeam-heb-19,ibeam-heb-19,تیرآهن هاش سنگین (HEB) ۲۲,تیرآهن,هاش سنگین,True,۲۲,جهان فولاد غرب,kg,38950,uncertain,تیرآهن-و-هاش/هاش,هاش سنگین 22 ذوب آهن اصفهان 12 متری,ذوب آهن اصفهان,195454,"هاش — ahanonline's هاش table prices ذوب‌آهن-branded, ترک-کره and وارداتی rows identically at 163–227 k T/kg (≈2.2× its own تیرآهن) and carries at least one row whose واحد says شاخه at 200,000 T. The brand column is not maintained, so no domestic-mill هاش price can be read off it. Left unpriced by decision."
ibeam-heb-20,ibeam-heb-20,تیرآهن هاش سنگین (HEB) ۲۴,تیرآهن,هاش سنگین,True,۲۴,یزد احرامیان,kg,38300,uncertain,تیرآهن-و-هاش/هاش,هاش سبک 24 تهران شاخه 12 متری,وارداتی,200000,"هاش — ahanonline's هاش table prices ذوب‌آهن-branded, ترک-کره and وارداتی rows identically at 163–227 k T/kg (≈2.2× its own تیرآهن) and carries at least one row whose واحد says شاخه at 200,000 T. The brand column is not maintained, so no domestic-mill هاش price can be read off it. Left unpriced by decision."
ibeam-heb-21,ibeam-heb-21,تیرآهن هاش سنگین (HEB) ۲۷,تیرآهن,هاش سنگین,True,۲۷,ماهان سپاهان,kg,38000,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-spiral-30,pipe-spiral-30,لوله اسپیرال ۱ اینچ,لوله,اسپیرال,True,۱ اینچ,کالوپ,kg,49100,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-spiral-28,pipe-spiral-28,لوله اسپیرال ۱/۲ اینچ,لوله,اسپیرال,True,۱/۲ اینچ,لوله سپاهان,kg,46250,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-spiral-31,pipe-spiral-31,لوله اسپیرال ۱¼ اینچ,لوله,اسپیرال,True,۱¼ اینچ,نورد لوله ساوه,kg,46400,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-spiral-32,pipe-spiral-32,لوله اسپیرال ۱½ اینچ,لوله,اسپیرال,True,۱½ اینچ,نورد لوله ساوه,kg,46300,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-spiral-33,pipe-spiral-33,لوله اسپیرال ۲ اینچ,لوله,اسپیرال,True,۲ اینچ,کالوپ,kg,47400,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-spiral-34,pipe-spiral-34,لوله اسپیرال ۲½ اینچ,لوله,اسپیرال,True,۲½ اینچ,کالوپ,kg,50050,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-spiral-29,pipe-spiral-29,لوله اسپیرال ۳/۴ اینچ,لوله,اسپیرال,True,۳/۴ اینچ,لوله‌سازی اهواز,kg,47500,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-scaffold-18,pipe-scaffold-18,لوله داربستی ۱ اینچ,لوله,داربستی,True,۱ اینچ,درپاد تهران,kg,51600,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-scaffold-16,pipe-scaffold-16,لوله داربستی ۱/۲ اینچ,لوله,داربستی,True,۱/۲ اینچ,درپاد تهران,kg,48400,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-scaffold-19,pipe-scaffold-19,لوله داربستی ۱¼ اینچ,لوله,داربستی,True,۱¼ اینچ,درپاد تهران,kg,49350,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-scaffold-21,pipe-scaffold-21,لوله داربستی ۲ اینچ,لوله,داربستی,True,۲ اینچ,لوله سمنان,kg,51500,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-scaffold-17,pipe-scaffold-17,لوله داربستی ۳/۴ اینچ,لوله,داربستی,True,۳/۴ اینچ,لوله سمنان,kg,51400,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-industrial-12,pipe-industrial-12,لوله صنعتی درزدار ۱¼ اینچ,لوله,صنعتی درزدار,True,۱¼ اینچ,لوله سمنان,kg,49800,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-industrial-13,pipe-industrial-13,لوله صنعتی درزدار ۱½ اینچ,لوله,صنعتی درزدار,True,۱½ اینچ,سپنتا,kg,50800,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-industrial-15,pipe-industrial-15,لوله صنعتی درزدار ۲½ اینچ,لوله,صنعتی درزدار,True,۲½ اینچ,درپاد تهران,kg,51650,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-seamless-1,pipe-seamless-1,لوله مانیسمان ۳ اینچ,لوله,لوله مانیسمان داخلی,True,۳ اینچ,تهران شرق,kg,49050,uncertain,انواع-لوله/لوله-مانسمان,لوله بدون درز(مانیسمان) سبک 3 اینچ وارداتی 6متری بنگاه تهران,وارداتی,9545454,ahanonline quotes this per شاخه; our SKU is per kg — see the weight section
pipe-seamless-2,pipe-seamless-2,لوله مانیسمان ۴ اینچ,لوله,لوله مانیسمان داخلی,True,۴ اینچ,لوله سپاهان,kg,48200,uncertain,انواع-لوله/لوله-مانسمان,لوله بدون درز(مانیسمان) سبک 4 اینچ وارداتی 6متری بنگاه تهران,وارداتی,17272727,ahanonline quotes this per شاخه; our SKU is per kg — see the weight section
pipe-seamless-3,pipe-seamless-3,لوله مانیسمان ۵ اینچ,لوله,لوله مانیسمان داخلی,True,۵ اینچ,سپنتا,kg,50500,uncertain,انواع-لوله/لوله-مانسمان,لوله بدون درز(مانیسمان) سبک 5 اینچ وارداتی 6متری بنگاه تهران,وارداتی,19090909,ahanonline quotes this per شاخه; our SKU is per kg — see the weight section
pipe-seamless-4,pipe-seamless-4,لوله مانیسمان ۶ اینچ,لوله,لوله مانیسمان داخلی,True,۶ اینچ,لوله سپاهان,kg,51800,uncertain,انواع-لوله/لوله-مانسمان,لوله بدون درز(مانیسمان) سبک 6 اینچ وارداتی 6متری کارخانه,وارداتی,24545454,ahanonline quotes this per شاخه; our SKU is per kg — see the weight section
pipe-seamless-5,pipe-seamless-5,لوله مانیسمان ۸ اینچ,لوله,لوله مانیسمان داخلی,True,۸ اینچ,لوله سپاهان,kg,51500,uncertain,انواع-لوله/لوله-مانسمان,لوله بدون درز(مانیسمان) سبک 8 اینچ وارداتی 6متری بنگاه تهران,وارداتی,38181818,ahanonline quotes this per شاخه; our SKU is per kg — see the weight section
pipe-furniture-35,pipe-furniture-35,لوله مبلی ۲½ اینچ,لوله,مبلی,True,۲½ اینچ,لوله سمنان,kg,49150,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-furniture-36,pipe-furniture-36,لوله مبلی ۳ اینچ,لوله,مبلی,True,۳ اینچ,سپنتا,kg,49450,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-furniture-37,pipe-furniture-37,لوله مبلی ۴ اینچ,لوله,مبلی,True,۴ اینچ,لوله سپاهان,kg,50750,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-furniture-38,pipe-furniture-38,لوله مبلی ۵ اینچ,لوله,مبلی,True,۵ اینچ,لوله سپاهان,kg,48100,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-gas-6,pipe-gas-6,لوله گازی ۳ اینچ,لوله,گازی,True,۳ اینچ,درپاد تهران,kg,50000,uncertain,انواع-لوله/لوله-درز-مستقیم,"لوله درز مستقیم 2.5 "" 3 تهران صنعتی 6متری کارخانه",صنعتی,107490,"matched rows are تست آب / صنعتی, not gas pipe; their gas rows at our sizes are per-شاخه only"
pipe-gas-7,pipe-gas-7,لوله گازی ۴ اینچ,لوله,گازی,True,۴ اینچ,لوله‌سازی اهواز,kg,48750,uncertain,انواع-لوله/لوله-درز-مستقیم,"لوله درز مستقیم 2 "" 4 تهران صنعتی 6متری کارخانه",صنعتی,108011,"matched rows are تست آب / صنعتی, not gas pipe; their gas rows at our sizes are per-شاخه only"
pipe-gas-8,pipe-gas-8,لوله گازی ۵ اینچ,لوله,گازی,True,۵ اینچ,سپنتا,kg,50500,uncertain,انواع-لوله/لوله-درز-مستقیم,"لوله درز مستقیم 2.5 "" 5 تهران صنعتی 6متری کارخانه",صنعتی,107490,"matched rows are تست آب / صنعتی, not gas pipe; their gas rows at our sizes are per-شاخه only"
pipe-gas-9,pipe-gas-9,لوله گازی ۶ اینچ,لوله,گازی,True,۶ اینچ,نورد لوله ساوه,kg,49350,uncertain,انواع-لوله/لوله-درز-مستقیم,"لوله درز مستقیم 2.5 "" 6 تهران صنعتی 6متری کارخانه",صنعتی,107490,"matched rows are تست آب / صنعتی, not gas pipe; their gas rows at our sizes are per-شاخه only"
pipe-gas-10,pipe-gas-10,لوله گازی ۸ اینچ,لوله,گازی,True,۸ اینچ,لوله سمنان,kg,49300,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
pipe-galvanized-23,pipe-galvanized-23,لوله گالوانیزه ۳ اینچ,لوله,گالوانیزه,True,۳ اینچ,تهران شرق,kg,47700,uncertain,انواع-لوله/لوله-گالوانیزه,لوله گالوانیزه تست آب ضخامت 4 میل سایز 3 اینچ ساوه,ساوه,199831,"mill differs AND ahanonline's own spread for size 3 اینچ is 22% across ['ساوه', 'قزوین'] — no defensible single number"
pipe-galvanized-24,pipe-galvanized-24,لوله گالوانیزه ۴ اینچ,لوله,گالوانیزه,True,۴ اینچ,لوله سمنان,kg,45550,uncertain,انواع-لوله/لوله-گالوانیزه,لوله گالوانیزه تست آب ضخامت 4 میل سایز 4 اینچ ساوه,ساوه,164545,"mill differs AND ahanonline's own spread for size 4 اینچ is 26% across ['ساوه', 'قزوین'] — no defensible single number"
pipe-galvanized-25,pipe-galvanized-25,لوله گالوانیزه ۵ اینچ,لوله,گالوانیزه,True,۵ اینچ,لوله‌سازی اهواز,kg,45750,uncertain,انواع-لوله/لوله-گالوانیزه,لوله گالوانیزه تست آب ضخامت 4 میل سایز 5 اینچ ساوه,ساوه,199831,only one ahanonline row for this size and its mill is not ours (ساوه)
pipe-galvanized-27,pipe-galvanized-27,لوله گالوانیزه ۸ اینچ,لوله,گالوانیزه,True,۸ اینچ,لوله‌سازی اهواز,kg,48750,uncertain,انواع-لوله/لوله-گالوانیزه,لوله گالوانیزه تست آب ضخامت 6 میل سایز 8 اینچ سپاهان,سپاهان,194178,only one ahanonline row for this size and its mill is not ours (سپاهان)
01M05R1E14N6WV9MFAXCCTY092,rebar-12-a3-anahita-gilan,میلگرد آجدار ۱۲ آناهیتا گیلان,میلگرد,میلگرد آجدار,True,۱۲,آناهیتا گیلان,kg,,uncertain,میلگرد/قیمت-میلگرد,میلگرد 12 ذوب آهن اصفهان آجدار A3 کارخانه,ذوب آهن اصفهان,70000,"mill differs AND ahanonline's own spread for size 12 is 19% across ['آریان فولاد', 'ابرکوه', 'ابهر', 'امیرکبیر', 'بافق یزد', 'جهان فولاد سیرجان', 'درپاد تبریز', 'ذوب آهن اصفهان', 'راد همدان', 'شاهرود', 'شاهین بناب', 'صبا فولاد زاگرس', 'ظفر بناب', 'فایکو', 'قائم', 'میانه', 'نیشابور', 'هیربد', 'پردیس', 'پرشین فولاد', 'کاشان', 'کاوه تیکمه داش', 'کوثر اهواز'] — no defensible single number"
angle-channel-tbar-31,angle-channel-tbar-31,نبشی و ناودانی سپری ۱۰,نبشی و ناودانی,سپری,True,۱۰,ظهوریان مشهد,kg,34400,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
angle-channel-tbar-32,angle-channel-tbar-32,نبشی و ناودانی سپری ۱۲,نبشی و ناودانی,سپری,True,۱۲,ناب تبریز,kg,34700,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
angle-channel-tbar-28,angle-channel-tbar-28,نبشی و ناودانی سپری ۵,نبشی و ناودانی,سپری,True,۵,جاوید بناب,kg,35950,uncertain,نبشی-و-ناودانی/سپری,سپری 5-6 متری بنگاه تهران,نورد سجاد,81015,only one ahanonline row for this size and its mill is not ours (نورد سجاد)
angle-channel-tbar-29,angle-channel-tbar-29,نبشی و ناودانی سپری ۶,نبشی و ناودانی,سپری,True,۶,سپهر ایرانیان,kg,35450,uncertain,نبشی-و-ناودانی/سپری,سپری 6-6 متری بنگاه تهران,نورد سجاد,81015,only one ahanonline row for this size and its mill is not ours (نورد سجاد)
angle-channel-tbar-30,angle-channel-tbar-30,نبشی و ناودانی سپری ۸,نبشی و ناودانی,سپری,True,۸,آریان فولاد,kg,37250,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
angle-channel-angle-5,angle-channel-angle-5,نبشی و ناودانی نبشی بال مساوی ۱۴,نبشی و ناودانی,نبشی,True,۱۴,ناب تبریز,kg,35800,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
angle-channel-angle-6,angle-channel-angle-6,نبشی و ناودانی نبشی بال مساوی ۱۶,نبشی و ناودانی,نبشی,True,۱۶,آریان فولاد,kg,38250,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
angle-channel-angle-7,angle-channel-angle-7,نبشی و ناودانی نبشی بال مساوی ۱۸,نبشی و ناودانی,نبشی,True,۱۸,جاوید بناب,kg,36600,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
angle-channel-angle-unequal-8,angle-channel-angle-unequal-8,نبشی و ناودانی نبشی بال نامساوی ۱۴,نبشی و ناودانی,نبشی بال نامساوی,False,۱۴,ناب تبریز,kg,35350,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
angle-channel-angle-unequal-9,angle-channel-angle-unequal-9,نبشی و ناودانی نبشی بال نامساوی ۱۶,نبشی و ناودانی,نبشی بال نامساوی,False,۱۶,ظهوریان مشهد,kg,36700,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
angle-channel-angle-unequal-10,angle-channel-angle-unequal-10,نبشی و ناودانی نبشی بال نامساوی ۱۸,نبشی و ناودانی,نبشی بال نامساوی,False,۱۸,ناب تبریز,kg,35150,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
angle-channel-angle-unequal-11,angle-channel-angle-unequal-11,نبشی و ناودانی نبشی بال نامساوی ۲۰,نبشی و ناودانی,نبشی بال نامساوی,False,۲۰,جاوید بناب,kg,35350,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
angle-channel-angle-unequal-12,angle-channel-angle-unequal-12,نبشی و ناودانی نبشی بال نامساوی ۲۲,نبشی و ناودانی,نبشی بال نامساوی,False,۲۲,فایکو,kg,35000,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
angle-channel-spot-14,angle-channel-spot-14,نبشی و ناودانی نبشی لقمه ۱۰,نبشی و ناودانی,نبشی لقمه,False,۱۰,آریان فولاد,kg,35450,exact,نبشی-و-ناودانی/نبشی,نبشی 10*100*100 آریان فولاد 6 متری کارخانه,آریان فولاد,78281,matched against a plain نبشی row — نبشی لقمه is a different product
angle-channel-spot-15,angle-channel-spot-15,نبشی و ناودانی نبشی لقمه ۱۲,نبشی و ناودانی,نبشی لقمه,False,۱۲,شکفته مشهد,kg,38150,uncertain,نبشی-و-ناودانی/نبشی,نبشی 12*120*120 آریان فولاد 6 متری کارخانه,آریان فولاد,78358,matched against a plain نبشی row — نبشی لقمه is a different product
angle-channel-spot-16,angle-channel-spot-16,نبشی و ناودانی نبشی لقمه ۱۴,نبشی و ناودانی,نبشی لقمه,False,۱۴,آریان فولاد,kg,35700,unmatched,,,,,matched against a plain نبشی row — نبشی لقمه is a different product
angle-channel-spot-17,angle-channel-spot-17,نبشی و ناودانی نبشی لقمه ۱۶,نبشی و ناودانی,نبشی لقمه,False,۱۶,دهشیر یزد,kg,35500,unmatched,,,,,matched against a plain نبشی row — نبشی لقمه is a different product
angle-channel-spot-13,angle-channel-spot-13,نبشی و ناودانی نبشی لقمه ۸,نبشی و ناودانی,نبشی لقمه,False,۸,سپهر ایرانیان,kg,38000,uncertain,نبشی-و-ناودانی/نبشی,نبشی 8*80*80 آریان فولاد 6 متری کارخانه,آریان فولاد,73628,matched against a plain نبشی row — نبشی لقمه is a different product
sheet-checkered-23,sheet-checkered-23,ورق آجدار ۰.۷,ورق,آجدار,True,۰.۷,فولاد مبارکه,kg,44950,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
sheet-checkered-24,sheet-checkered-24,ورق آجدار ۱,ورق,آجدار,True,۱,اکسین اهواز,kg,42500,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
sheet-checkered-25,sheet-checkered-25,ورق آجدار ۱.۵,ورق,آجدار,True,۱.۵,هفت‌الماس,kg,45200,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
sheet-checkered-26,sheet-checkered-26,ورق آجدار ۲,ورق,آجدار,True,۲,ورق شهرکرد,kg,45650,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
sheet-checkered-27,sheet-checkered-27,ورق آجدار ۲.۵,ورق,آجدار,True,۲.۵,تاراز,kg,42600,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
sheet-pickled-18,sheet-pickled-18,ورق اسیدشویی ۱۲,ورق,اسیدشویی,True,۱۲,هفت‌الماس,kg,42400,unmatched,,,,,no ahanonline counterpart (unmatched in the 2026-08-19 pass)
