cat_name,sub_name,name,slug,size,grade,standard,dimensions,factory,unit,price,source
میلگرد,میلگرد استیل,میلگرد استیل ۱۰ هند,rebar-stainless-10-310s-hnd,۱۰,310S,,,هند,kg,1919090,میلگرد استیل   10   هند  310S  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۱۲ تایوان,rebar-stainless-12-310s-tayvan,۱۲,310S,,,تایوان,kg,1919090,میلگرد استیل   12   تایوان  310S  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۱۵ تایوان,rebar-stainless-15-310s-tayvan,۱۵,310S,,,تایوان,kg,1919090,میلگرد استیل   15   تایوان  310S  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۱۸ تایوان,rebar-stainless-18-310s-tayvan,۱۸,310S,,,تایوان,kg,1919090,میلگرد استیل   18   تایوان  310S  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۲۵ تایوان,rebar-stainless-25-310s-tayvan,۲۵,310S,,,تایوان,kg,1919090,میلگرد استیل   25   تایوان  310S  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۴۰ تایوان,rebar-stainless-40-310s-tayvan,۴۰,310S,,,تایوان,kg,1919090,میلگرد استیل   40   تایوان  310S  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۴۵ تایوان,rebar-stainless-45-310s-tayvan,۴۵,310S,,,تایوان,kg,1919090,میلگرد استیل   45   تایوان  310S  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۶۰ هند,rebar-stainless-60-310s-hnd,۶۰,310S,,,هند,kg,1919090,میلگرد استیل   60   هند  310S  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۵ هند,rebar-stainless-5-316l-hnd,۵,316L,,,هند,kg,1218181,میلگرد استیل   5   هند  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۱۰ هند,rebar-stainless-10-316l-hnd,۱۰,316L,,,هند,kg,1218181,میلگرد استیل   10   هند  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۱۲ چین,rebar-stainless-12-316l-chyn,۱۲,316L,,,چین,kg,1218181,میلگرد استیل   12   چین  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۱۴ هند,rebar-stainless-14-316l-hnd,۱۴,316L,,,هند,kg,1218181,میلگرد استیل   14   هند  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۱۵ هند,rebar-stainless-15-316l-hnd,۱۵,316L,,,هند,kg,1218181,میلگرد استیل   15   هند  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۱۶ تایوان,rebar-stainless-16-316l-tayvan,۱۶,316L,,,تایوان,kg,1218181,میلگرد استیل   16   تایوان  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۲۰ هند,rebar-stainless-20-316l-hnd,۲۰,316L,,,هند,kg,1218181,میلگرد استیل   20   هند  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۲۵ هند,rebar-stainless-25-316l-hnd,۲۵,316L,,,هند,kg,1218181,میلگرد استیل   25   هند  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۲۸ هند,rebar-stainless-28-316l-hnd,۲۸,316L,,,هند,kg,1218181,میلگرد استیل   28   هند  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۳۰ هند,rebar-stainless-30-316l-hnd,۳۰,316L,,,هند,kg,1218181,میلگرد استیل   30   هند  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۴۰ هند,rebar-stainless-40-316l-hnd,۴۰,316L,,,هند,kg,1218181,میلگرد استیل   40   هند  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۴۵ هند,rebar-stainless-45-316l-hnd,۴۵,316L,,,هند,kg,1218181,میلگرد استیل   45   هند  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۵۰ هند,rebar-stainless-50-316l-hnd,۵۰,316L,,,هند,kg,1218181,میلگرد استیل   50   هند  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۵۵ هند,rebar-stainless-55-316l-hnd,۵۵,316L,,,هند,kg,1218181,میلگرد استیل   55   هند  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۶۰ هند,rebar-stainless-60-316l-hnd,۶۰,316L,,,هند,kg,1218181,میلگرد استیل   60   هند  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۶۵ هند,rebar-stainless-65-316l-hnd,۶۵,316L,,,هند,kg,1218181,میلگرد استیل   65   هند  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۷۰ چین,rebar-stainless-70-316l-chyn,۷۰,316L,,,چین,kg,1218181,میلگرد استیل   70   چین  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۸۰ هند,rebar-stainless-80-316l-hnd,۸۰,316L,,,هند,kg,1218181,میلگرد استیل   80   هند  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۸۵ هند,rebar-stainless-85-316l-hnd,۸۵,316L,,,هند,kg,1218181,میلگرد استیل   85   هند  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۹۰ چین,rebar-stainless-90-316l-chyn,۹۰,316L,,,چین,kg,1218181,میلگرد استیل   90   چین  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۱۲۰ هند,rebar-stainless-120-316l-hnd,۱۲۰,316L,,,هند,kg,1309090,میلگرد استیل   120   هند  316L  6 متری
میلگرد,میلگرد استیل,میلگرد استیل ۱۳۰ هند,rebar-stainless-130-316l-hnd,۱۳۰,316L,,,هند,kg,1309090,میلگرد استیل   130   هند  316L  6 متری
کلاف و مفتول,سیم‌جوش استیل,سیم‌جوش استیل ۲.۵,wire-welding-wire-2-5-304l,۲.۵,304L,,,,kg,1545454,سیم جوش استنلس استیل 304L  2.5
کلاف و مفتول,سیم‌جوش استیل,سیم‌جوش استیل ۳,wire-welding-wire-3-304l,۳,304L,,,,kg,1545454,سیم جوش استنلس استیل 304L  3
کلاف و مفتول,سیم‌جوش استیل,سیم‌جوش استیل ۴,wire-welding-wire-4-304l,۴,304L,,,,kg,1545454,سیم جوش استنلس استیل 304L  4
کلاف و مفتول,سیم‌جوش استیل,سیم‌جوش استیل ۲,wire-welding-wire-2-316l,۲,316L,,,,kg,2181818,سیم جوش استنلس استیل 316L  2
کلاف و مفتول,سیم‌جوش استیل,سیم‌جوش استیل ۲.۵,wire-welding-wire-2-5-316l,۲.۵,316L,,,,kg,2000000,سیم جوش استنلس استیل 316L  2.5
کلاف و مفتول,سیم‌جوش استیل,سیم‌جوش استیل ۳,wire-welding-wire-3-316l,۳,316L,,,,kg,1354545,سیم جوش استنلس استیل 316L  3
کلاف و مفتول,سیم‌جوش استیل,سیم‌جوش استیل ۴,wire-welding-wire-4-316l,۴,316L,,,,kg,1354545,سیم جوش استنلس استیل 316L  4
کلاف و مفتول,سیم‌مفتول استیل,سیم‌مفتول استیل ۲,wire-wire-rod-2-304l,۲,304L,,,,kg,847729,سیم مفتول استنلس استیل 304L  2
کلاف و مفتول,سیم‌مفتول استیل,سیم‌مفتول استیل ۲.۵,wire-wire-rod-2-5-304l,۲.۵,304L,,,,kg,847729,سیم مفتول استنلس استیل 304L  2.5
کلاف و مفتول,سیم‌مفتول استیل,سیم‌مفتول استیل ۳,wire-wire-rod-3-304l,۳,304L,,,,kg,847729,سیم مفتول استنلس استیل 304L  3
کلاف و مفتول,سیم‌مفتول استیل,سیم‌مفتول استیل ۴,wire-wire-rod-4-304l,۴,304L,,,,kg,847729,سیم مفتول استنلس استیل 304L  4
کلاف و مفتول,سیم‌مفتول استیل,سیم‌مفتول استیل ۲,wire-wire-rod-2-316l,۲,316L,,,,kg,1237354,سیم مفتول استنلس استیل 316L  2
کلاف و مفتول,سیم‌مفتول استیل,سیم‌مفتول استیل ۲.۵,wire-wire-rod-2-5-316l,۲.۵,316L,,,,kg,1237354,سیم مفتول استنلس استیل 316L  2.5
کلاف و مفتول,سیم‌مفتول استیل,سیم‌مفتول استیل ۳,wire-wire-rod-3-316l,۳,316L,,,,kg,1237354,سیم مفتول استنلس استیل 316L  3
کلاف و مفتول,سیم‌مفتول استیل,سیم‌مفتول استیل ۴,wire-wire-rod-4-316l,۴,316L,,,,kg,1237354,سیم مفتول استنلس استیل 316L  4
ورق,گریتینگ,گریتینگ استنلس استیل,sheet-grating-astnls-astyl,,استنلس استیل,,,,kg,854777,"گریتینگ استنلس استیل (1 rows, کارخانه)"
ورق,گریتینگ,گریتینگ فلزی,sheet-grating-flzy,,فلزی,,,,kg,176363,"گریتینگ فلزی (4 rows, کارخانه)"
ورق,گریتینگ,گریتینگ پله,sheet-grating-plh,,پله,,,,kg,191852,"گریتینگ پله (2 rows, کارخانه)"
ورق,گریتینگ,گریتینگ گالوانیزه,sheet-grating-galvanyzh,,گالوانیزه,,,,kg,191756,"گریتینگ گالوانیزه (4 rows, کارخانه)"
ورق,آلوزینک (گالوالوم),آلوزینک (گالوالوم) ۰.۴۸ هفت‌الماس,sheet-aluzinc-0-48-haft-almas,۰.۴۸,,,۱۰۰۰,هفت‌الماس,kg,177454,آلوزینک  0.48  1000  هفت الماس      بنگاه تهران
ورق,آلوزینک (گالوالوم),آلوزینک (گالوالوم) ۰.۴۸ هفت‌الماس,sheet-aluzinc-0-48-haft-almas-1250,۰.۴۸,,,۱۲۵۰,هفت‌الماس,kg,177454,آلوزینک  0.48  1250  هفت الماس      بنگاه تهران
ورق,آلوزینک (گالوالوم),آلوزینک (گالوالوم) ۰.۵ هفت‌الماس,sheet-aluzinc-0-5-haft-almas,۰.۵,,,۱۰۰۰,هفت‌الماس,kg,177545,آلوزینک  0.5  1000  هفت الماس      بنگاه تهران
ورق,آلوزینک (گالوالوم),آلوزینک (گالوالوم) ۰.۵ هفت‌الماس,sheet-aluzinc-0-5-haft-almas-1250,۰.۵,,,۱۲۵۰,هفت‌الماس,kg,177545,آلوزینک  0.5  1250  هفت الماس      بنگاه تهران
ورق,آلوزینک (گالوالوم),آلوزینک (گالوالوم) ۰.۶ هفت‌الماس,sheet-aluzinc-0-6-haft-almas,۰.۶,,,۱۰۰۰,هفت‌الماس,kg,177090,آلوزینک  0.6  1000  هفت الماس      بنگاه تهران
ورق,آلوزینک (گالوالوم),آلوزینک (گالوالوم) ۰.۶ هفت‌الماس,sheet-aluzinc-0-6-haft-almas-1250,۰.۶,,,۱۲۵۰,هفت‌الماس,kg,177090,آلوزینک  0.6  1250  هفت الماس      بنگاه تهران
ورق,قلع‌اندود,قلع‌اندود ۰.۱۷ فولاد مبارکه,sheet-tin-coated-0-17-mobarakeh,۰.۱۷,,,۹۲۴×۸۰۱,فولاد مبارکه,kg,304772,قلع اندود 0.17 فولاد مبارکه 924*801  شیت  بنگاه تهران
ورق,قلع‌اندود,قلع‌اندود ۰.۱۸ فولاد مبارکه,sheet-tin-coated-0-18-mobarakeh,۰.۱۸,,,۸۶۲×۷۶۶,فولاد مبارکه,kg,306309,قلع اندود 0.18 فولاد مبارکه 862*766  شیت  بنگاه تهران
ورق,قلع‌اندود,قلع‌اندود ۰.۱۸ فولاد مبارکه,sheet-tin-coated-0-18-mobarakeh-942x886,۰.۱۸,,,۹۴۲×۸۸۶,فولاد مبارکه,kg,305736,قلع اندود 0.18 فولاد مبارکه 942*886  شیت  بنگاه تهران
ورق,قلع‌اندود,قلع‌اندود ۰.۱۸ فولاد مبارکه,sheet-tin-coated-0-18-mobarakeh-942x920,۰.۱۸,,,۹۴۲×۹۲۰,فولاد مبارکه,kg,303681,قلع اندود 0.18 فولاد مبارکه 942*920  شیت  بنگاه تهران
ورق,قلع‌اندود,قلع‌اندود ۰.۱۹ فولاد مبارکه,sheet-tin-coated-0-19-mobarakeh,۰.۱۹,,,۹۴۲×۸۸۶,فولاد مبارکه,kg,303636,قلع اندود 0.19 فولاد مبارکه 942*886  شیت  بنگاه تهران
ورق,قلع‌اندود,قلع‌اندود ۰.۲۲ فولاد مبارکه,sheet-tin-coated-0-22-mobarakeh,۰.۲۲,,,۶۲۶×۸۰۰,فولاد مبارکه,kg,303272,قلع اندود 0.22 فولاد مبارکه 626*800  شیت  بنگاه تهران
ورق,قلع‌اندود,قلع‌اندود ۰.۲۳ فولاد مبارکه,sheet-tin-coated-0-23-mobarakeh,۰.۲۳,,,۶۱۴×۹۰۲,فولاد مبارکه,kg,302454,قلع اندود 0.23 فولاد مبارکه 614*902  شیت  بنگاه تهران
ورق,قلع‌اندود,قلع‌اندود ۰.۲۵ فولاد مبارکه,sheet-tin-coated-0-25-mobarakeh,۰.۲۵,,,۷۶۵×۷۶۵,فولاد مبارکه,kg,302636,قلع اندود 0.25 فولاد مبارکه 765*765  شیت  بنگاه تهران
ورق,ورق پانچ سیاه,ورق پانچ سیاه ۲ فولاد مبارکه,sheet-perforated-black-2-mobarakeh,۲,,,۲۰۰۰×۱۰۰۰,فولاد مبارکه,sheet,3226818,فولاد مبارکه   2  1000*2000  بنگاه تهران    ورق پانچ سیاه
ورق,ورق پانچ سیاه,ورق پانچ سیاه ۲ فولاد مبارکه,sheet-perforated-black-2-mobarakeh-2500x1250,۲,,,۲۵۰۰×۱۲۵۰,فولاد مبارکه,sheet,4966818,فولاد مبارکه   2  1250*2500  بنگاه تهران    ورق پانچ سیاه
ورق,ورق ضد سایش,ورق ضد سایش ۶ چینی,sheet-wear-resistant-6-chyny,۶,,ضد سایش,۲۰۰۰×۶۰۰۰,چینی,kg,300000,ورق ضد سایش   6   چینی  2000*6000    شیت  ضد ساییش  بنگاه تهران
ورق,ورق ضد سایش,ورق ضد سایش ۸ چینی,sheet-wear-resistant-8-chyny,۸,,ضد سایش,۲۰۰۰×۶۰۰۰,چینی,kg,300000,ورق ضد سایش   8   چینی  2000*6000    شیت  ضد ساییش  بنگاه تهران
ورق,ورق ضد سایش,ورق ضد سایش ۱۰ چینی,sheet-wear-resistant-10-chyny,۱۰,,ضد سایش,۲۰۰۰×۶۰۰۰,چینی,kg,298181,ورق ضد سایش   10   چینی  2000*6000    شیت  ضد ساییش  بنگاه تهران
ورق,ورق ضد سایش,ورق ضد سایش ۱۲ چینی,sheet-wear-resistant-12-chyny,۱۲,,ضد سایش,۲۰۰۰×۶۰۰۰,چینی,kg,298181,ورق ضد سایش   12   چینی  2000*6000    شیت  ضد ساییش  بنگاه تهران
ورق,ورق ضد سایش,ورق ضد سایش ۱۵ چینی,sheet-wear-resistant-15-chyny,۱۵,,ضد سایش,۲۰۰۰×۶۰۰۰,چینی,kg,300000,ورق ضد سایش   15   چینی  2000*6000    شیت  ضد ساییش  بنگاه تهران
ورق,ورق ضد سایش,ورق ضد سایش ۲۵ چینی,sheet-wear-resistant-25-chyny,۲۵,,ضد سایش,۲۰۰۰×۶۰۰۰,چینی,kg,298181,ورق ضد سایش   25   چینی  2000*6000    شیت  ضد ساییش  بنگاه تهران
ورق,ورق دریایی,ورق دریایی ۶ فولاد مبارکه,sheet-marine-6-a36-mobarakeh,۶,A36,,۶۰۰۰×۱۵۰۰,فولاد مبارکه,kg,107727,ورق دریایی 6 فولاد مبارکه 6000*1500  شیت A36 بنگاه تهران
ورق,ورق دریایی,ورق دریایی ۸ فولاد مبارکه,sheet-marine-8-a36-mobarakeh,۸,A36,,۶۰۰۰×۱۵۰۰,فولاد مبارکه,kg,105910,ورق دریایی 8 فولاد مبارکه 6000*1500  شیت A36 بنگاه تهران
ورق,ورق دریایی,ورق دریایی ۱۰ فولاد مبارکه,sheet-marine-10-a36-mobarakeh,۱۰,A36,,۶۰۰۰×۱۵۰۰,فولاد مبارکه,kg,102274,ورق دریایی 10 فولاد مبارکه 6000*1500  شیت A36 بنگاه تهران
ورق,ورق دریایی,ورق دریایی ۱۲ فولاد مبارکه,sheet-marine-12-a36-mobarakeh,۱۲,A36,,۶۰۰۰×۱۵۰۰,فولاد مبارکه,kg,102291,ورق دریایی 12 فولاد مبارکه 6000*1500  شیت A36 بنگاه تهران
ورق,ورق دریایی,ورق دریایی ۱۵ فولاد مبارکه,sheet-marine-15-a36-mobarakeh,۱۵,A36,,۶۰۰۰×۱۵۰۰,فولاد مبارکه,kg,97729,ورق دریایی 15 فولاد مبارکه 6000*1500  شیت A36 بنگاه تهران
لوله,لوله جدار چاه,لوله جدار چاه ۸ اینچ تهران شرق,pipe-well-casing-8-tehran-shargh,۸ اینچ,,ST37,,تهران شرق,kg,113133,لوله جدار چاه  4  8 اینچ  تهران شرق  st37  12 متری  کارخانه — median of 3 wall thicknesses
لوله,لوله جدار چاه,لوله جدار چاه ۱۰ اینچ تهران شرق,pipe-well-casing-10-tehran-shargh,۱۰ اینچ,,ST37,,تهران شرق,kg,113191,لوله جدار چاه  4  10 اینچ  تهران شرق  st37  12 متری  کارخانه — median of 3 wall thicknesses
لوله,لوله جدار چاه,لوله جدار چاه ۱۲ اینچ تهران شرق,pipe-well-casing-12-tehran-shargh,۱۲ اینچ,,ST37,,تهران شرق,kg,113168,لوله جدار چاه  5  12 اینچ  تهران شرق  st37  12 متری  کارخانه — median of 2 wall thicknesses
لوله,لوله جدار چاه,لوله جدار چاه ۱۴ اینچ تهران شرق,pipe-well-casing-14-tehran-shargh,۱۴ اینچ,,ST37,,تهران شرق,kg,113168,لوله جدار چاه  5  14 اینچ  تهران شرق  st37  12 متری  کارخانه — median of 2 wall thicknesses
لوله,لوله جدار چاه,لوله جدار چاه ۱۶ اینچ تهران شرق,pipe-well-casing-16-tehran-shargh,۱۶ اینچ,,ST37,,تهران شرق,kg,113168,لوله جدار چاه  5  16 اینچ  تهران شرق  st37  12 متری  کارخانه — median of 2 wall thicknesses
لوله,لوله جدار چاه,لوله جدار چاه ۸ اینچ کالوپ,pipe-well-casing-8-kaloup,۸ اینچ,,ST37,,کالوپ,kg,114130,لوله جدار چاه  5  8 اینچ  کالوپ  st37  12 متری  کارخانه — median of 2 wall thicknesses
لوله,لوله جدار چاه,لوله جدار چاه ۱۰ اینچ کالوپ,pipe-well-casing-10-kaloup,۱۰ اینچ,,ST37,,کالوپ,kg,114130,لوله جدار چاه  5  10 اینچ  کالوپ  st37  12 متری  کارخانه — median of 2 wall thicknesses
لوله,لوله جدار چاه,لوله جدار چاه ۱۲ اینچ کالوپ,pipe-well-casing-12-kaloup,۱۲ اینچ,,ST37,,کالوپ,kg,113966,لوله جدار چاه  5  12 اینچ  کالوپ  st37  12 متری  کارخانه — median of 2 wall thicknesses
لوله,لوله جدار چاه,لوله جدار چاه ۱۴ اینچ کالوپ,pipe-well-casing-14-kaloup,۱۴ اینچ,,ST37,,کالوپ,kg,113966,لوله جدار چاه  5  14 اینچ  کالوپ  st37  12 متری  کارخانه — median of 2 wall thicknesses
لوله,لوله جدار چاه,لوله جدار چاه ۸ اینچ کیان پرشیا,pipe-well-casing-8-kian-persia,۸ اینچ,,ST37,,کیان پرشیا,kg,114400,لوله جدار چاه  5  8 اینچ  کیان پرشیا  st37  12 متری  کارخانه — median of 2 wall thicknesses
لوله,لوله جدار چاه,لوله جدار چاه ۱۰ اینچ کیان پرشیا,pipe-well-casing-10-kian-persia,۱۰ اینچ,,ST37,,کیان پرشیا,kg,114400,لوله جدار چاه  5  10 اینچ  کیان پرشیا  st37  12 متری  کارخانه — median of 2 wall thicknesses
لوله,لوله جدار چاه,لوله جدار چاه ۱۲ اینچ کیان پرشیا,pipe-well-casing-12-kian-persia,۱۲ اینچ,,ST37,,کیان پرشیا,kg,114400,لوله جدار چاه  5  12 اینچ  کیان پرشیا  st37  12 متری  کارخانه — median of 2 wall thicknesses
لوله,لوله جدار چاه,لوله جدار چاه ۱۴ اینچ کیان پرشیا,pipe-well-casing-14-kian-persia,۱۴ اینچ,,ST37,,کیان پرشیا,kg,114400,لوله جدار چاه  5  14 اینچ  کیان پرشیا  st37  12 متری  کارخانه — median of 2 wall thicknesses
لوله,لوله گوشت‌دار,لوله گوشت‌دار ۸۳×۴۳ چین,pipe-thick-walled-83x43-chyn,۸۳×۴۳,,,,چین,kg,243759,لوله گوشتدار 20  83*43   چین    6متری بنگاه تهران
لوله,لوله گوشت‌دار,لوله گوشت‌دار ۹۰×۴۰ چین,pipe-thick-walled-90x40-chyn,۹۰×۴۰,,,,چین,kg,243759,لوله گوشتدار 25  90*40   چین    6متری بنگاه تهران
لوله,لوله گوشت‌دار,لوله گوشت‌دار ۶۰×۱۲۰ چین,pipe-thick-walled-60x120-chyn,۶۰×۱۲۰,,,,چین,kg,243759,لوله گوشتدار 30  120*60   چین    6متری بنگاه تهران
لوله,لوله گوشت‌دار,لوله گوشت‌دار ۱۴۰×۸۰ چین,pipe-thick-walled-140x80-chyn,۱۴۰×۸۰,,,,چین,kg,243759,لوله گوشتدار 30  140*80   چین    6متری بنگاه تهران
لوله,لوله گوشت‌دار,لوله گوشت‌دار ۱۴۰×۷۰ چین,pipe-thick-walled-140x70-chyn,۱۴۰×۷۰,,,,چین,kg,243759,لوله گوشتدار 35  140*70   چین    6متری بنگاه تهران
لوله,لوله گوشت‌دار,لوله گوشت‌دار ۱۳۳×۶۳ چین,pipe-thick-walled-133x63-chyn,۱۳۳×۶۳,,,,چین,kg,256635,لوله گوشتدار 35  133*63   چین    6متری بنگاه تهران
لوله,لوله گوشت‌دار,لوله گوشت‌دار ۱۵۰×۸۰ چین,pipe-thick-walled-150x80-chyn,۱۵۰×۸۰,,,,چین,kg,243759,لوله گوشتدار 35  150*80   چین    6متری بنگاه تهران
لوله,لوله گوشت‌دار,لوله گوشت‌دار ۲۲۰×۸۰ وارداتی,pipe-thick-walled-220x80-vardaty,۲۲۰×۸۰,,,,وارداتی,kg,243759,لوله گوشتدار 70  220*80   وارداتی    6متری
پروفیل و قوطی,پروفیل کنگره,پروفیل کنگره ۳۰×۲۰ متفرقه,profile-congress-30x20-mtfrghh,۳۰×۲۰,,,,متفرقه,kg,109545,پروفیل کنگره 2  20*30   متفرقه    6 متری
پروفیل و قوطی,پروفیل کنگره,پروفیل کنگره ۲۰×۴۰ نورد میلاد یزد,profile-congress-20x40-nvrd-mylad-yzd,۲۰×۴۰,,,,نورد میلاد یزد,kg,109090,پروفیل کنگره 2  40*20   نورد میلاد یزد    6 متری
پروفیل و قوطی,پروفیل کنگره,پروفیل کنگره ۴۰×۴۰ نورد میلاد یزد,profile-congress-40x40-nvrd-mylad-yzd,۴۰×۴۰,,,,نورد میلاد یزد,kg,109090,پروفیل کنگره 2  40*40   نورد میلاد یزد    6 متری
پروفیل و قوطی,پروفیل کنگره,پروفیل کنگره ۳۰×۵۰ متفرقه,profile-congress-30x50-mtfrghh,۳۰×۵۰,,,,متفرقه,kg,109090,پروفیل کنگره 2  50*30   متفرقه    6 متری
پروفیل و قوطی,پروفیل کنگره,پروفیل کنگره ۶۰×۴۰ نورد میلاد یزد,profile-congress-60x40-nvrd-mylad-yzd,۶۰×۴۰,,,,نورد میلاد یزد,kg,109090,پروفیل کنگره 2  60*40   نورد میلاد یزد    6 متری
پروفیل و قوطی,پروفیل کنگره,پروفیل کنگره ۴۰×۸۰ تهران,profile-congress-40x80-thran,۴۰×۸۰,,,,تهران,kg,109090,پروفیل کنگره 2  80*40   تهران    6 متری
نبشی و ناودانی,وال پست,وال پست ۱۰×۲۰,angle-channel-val-post-10x20-zkhamt-2,۱۰×۲۰,ضخامت ۲,,,,branch,108406,وال پست  2  10*20
نبشی و ناودانی,وال پست,وال پست ۱۵×۲۰,angle-channel-val-post-15x20-zkhamt-2,۱۵×۲۰,ضخامت ۲,,,,branch,127530,وال پست  2  15*20
